"Year","State","Force","Unemployed","Employed","Ratio"
"2013","AL",2174006,156961,2017045,0.0721989727719243
"2013","AR",1322586,95721,1226865,0.072374121607215
"2013","AZ",3029429,234731,2794698,0.0774835785885723
"2013","CA",18624999,1666593,16958406,0.089481508160081
"2013","CO",2767160,189600,2577560,0.0685179028317842
"2013","CT",1863340,145576,1717764,0.0781263752186933
"2013","DC",374126,31775,342351,0.0849312798362049
"2013","DE",442728,29609,413119,0.0668785349017907
"2013","FL",9453752,683663,8770089,0.0723165786451771
"2013","GA",4756159,389783,4366376,0.081953315690245
"2013","HI",651556,31866,619690,0.0489075382622522
"2013","IA",1674201,79306,1594895,0.0473694616118375
"2013","ID",770838,47202,723636,0.0612346563091078
"2013","IL",6549480,592725,5956755,0.0904995511094011
"2013","IN",3188404,244131,2944273,0.0765684022476449
"2013","KS",1485933,78711,1407222,0.0529707597852662
"2013","KY",2055441,164563,1890878,0.0800621375169611
"2013","LA",2101422,140880,1960542,0.0670403184129604
"2013","MA",3512832,236037,3276795,0.0671927948731963
"2013","MD",3129355,205855,2923500,0.0657819263074979
"2013","ME",705413,46894,658519,0.0664773685769896
"2013","MI",4723952,415918,4308034,0.0880445017222868
"2013","MN",2958600,146834,2811766,0.0496295545190293
"2013","MO",3020214,202777,2817437,0.0671399443880467
"2013","MS",1272487,108727,1163760,0.0854444878415261
"2013","MT",510784,27709,483075,0.0542479795764942
"2013","NC",4692945,374829,4318116,0.0798707421459233
"2013","ND",406198,11801,394397,0.0290523340833781
"2013","NE",1018301,38361,979940,0.0376715725507487
"2013","NH",741285,37750,703535,0.0509250827954161
"2013","NJ",4548557,374731,4173826,0.0823845892224721
"2013","NM",923901,64096,859805,0.0693753984463703
"2013","NV",1381160,133036,1248124,0.0963219322888007
"2013","NY",9659165,745380,8913785,0.0771681610159884
"2013","OH",5716743,426128,5290615,0.0745403457878026
"2013","OK",1802079,95215,1706864,0.0528361964153625
"2013","OR",1910706,150404,1760302,0.0787164534993871
"2013","PA",6442416,474604,5967812,0.0736686361141534
"2013","PR",1166326,166791,999535,0.143005471883504
"2013","RI",556928,51557,505371,0.0925739054240405
"2013","SC",2190976,167330,2023646,0.0763723564292808
"2013","SD",443086,16798,426288,0.0379113761211142
"2013","TN",3067436,238956,2828480,0.0779008918197478
"2013","TX",12857613,804956,12052657,0.0626053996181095
"2013","UT",1405630,64439,1341191,0.0458435007790101
"2013","VA",4237294,242100,3995194,0.057135520924439
"2013","VT",350447,15481,334966,0.044175010771957
"2013","WA",3463877,244033,3219844,0.0704508272089338
"2013","WI",3079312,207312,2872000,0.0673241295458206
"2013","WV",798535,54124,744411,0.0677791205144421
"2013","WY",306611,14479,292132,0.0472227023818454
"2014","AK",365384,25080,340304,0.0686401156044052
"2014","AL",2160848,146555,2014293,0.067822910264859
"2014","AR",1316511,79264,1237247,0.0602076245470034
"2014","AZ",3099885,210503,2889382,0.0679067126683732
"2014","CA",18714714,1403774,17310940,0.0750091078068305
"2014","CO",2802533,140128,2662405,0.0500004817070843
"2014","CT",1887431,124867,1762564,0.0661571204457276
"2014","DC",379123,29437,349686,0.0776449859280497
"2014","DE",452187,25862,426325,0.0571931523904933
"2014","FL",9567300,601052,8966248,0.0628235761395587
"2014","GA",4738963,335523,4403440,0.0708009326090961
"2014","HI",665465,28970,636495,0.0435334690780131
"2014","IA",1701451,72122,1629329,0.0423885260286661
"2014","ID",779985,37683,742302,0.0483124675474528
"2014","IL",6513869,461715,6052154,0.0708818368929433
"2014","IN",3224777,192278,3032499,0.0596252081926905
"2014","KS",1492168,67725,1424443,0.0453869805544684
"2014","KY",2006362,129520,1876842,0.0645546516530915
"2014","LA",2151286,137095,2014191,0.0637269986417427
